record_id,study_area,latitude,longitude,inventory_condition,year_inspected,image_ids,image_paths,truth_label,image_quality,occlusion,detectable_warning,labeler,label_timestamp,notes
ADA_CurbRampPt_18645,anacostia_fairlawn,38.86849356883389,-76.98087721690601,Fair,2016,1014222285942022|1110578453899788,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1014222285942022.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_18645/1110578453899788.jpg,ramp_absent,usable,partial,cannot_determine,root_user,2026-09-01T18:56:41.960Z,
ADA_CurbRampPt_11753,anacostia_fairlawn,38.86581346352636,-76.97945035983177,Good,2016,1025729343731173|1143286596180012,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1025729343731173.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_11753/1143286596180012.jpg,ramp_present,good,none,not_visible,hworku24,2026-09-01T18:57:53.139Z,
ADA_CurbRampPt_31142,anacostia_fairlawn,38.85930735726929,-76.9886330409881,Missing,2016,1171979521528074|1236546386804983,data/images/mapillary_pilot/ADA_CurbRampPt_31142/1171979521528074.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_31142/1236546386804983.jpg,ramp_absent,good,none,not_visible,hworku24,2026-09-01T18:58:41.570Z,
ADA_CurbRampPt_6680,anacostia_fairlawn,38.87697004681785,-76.96348681752639,Non-Compliant,2016,1068495237935483|1059437341875718,data/images/mapillary_pilot/ADA_CurbRampPt_6680/1068495237935483.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_6680/1059437341875718.jpg,ramp_present,good,none,not_visible,hworku24,2026-09-01T18:59:04.099Z,
ADA_CurbRampPt_3245,columbia_heights_petworth,38.92974563034023,-77.02763289023981,Fair,2016,1193106424779832|118043211011192,data/images/mapillary_pilot/ADA_CurbRampPt_3245/1193106424779832.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_3245/118043211011192.jpg,ramp_absent,good,none,not_visible,hworku24,2026-09-01T18:59:16.815Z,
ADA_CurbRampPt_28492,columbia_heights_petworth,38.92599186840451,-77.03954525254238,Good,2016,1387181318324936|1147891249034894,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1387181318324936.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_28492/1147891249034894.jpg,ramp_absent,unusable,none,not_visible,hworku24,2026-09-01T18:59:41.324Z,
ADA_CurbRampPt_2568,columbia_heights_petworth,38.93555188315029,-77.02712071296699,Missing,2016,161294106608412|147945997354667,data/images/mapillary_pilot/ADA_CurbRampPt_2568/161294106608412.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_2568/147945997354667.jpg,ramp_absent,usable,none,not_visible,hworku24,2026-09-01T19:00:06.113Z,
ADA_CurbRampPt_23006,columbia_heights_petworth,38.93402871611946,-77.02616414111131,Non-Compliant,2016,1331522562340689|1191360726455637,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1331522562340689.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_23006/1191360726455637.jpg,ramp_absent,good,none,not_visible,hworku24,2026-09-01T19:00:22.049Z,
ADA_CurbRampPt_27682,navy_yard_capitol_riverfront,38.873359991402225,-76.99166333582677,Fair,2016,105474755634177|1021053455094760,data/images/mapillary_pilot/ADA_CurbRampPt_27682/105474755634177.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_27682/1021053455094760.jpg,cannot_determine,unusable,unknown,cannot_determine,hworku24,2026-09-01T19:00:31.277Z,
ADA_CurbRampPt_20386,navy_yard_capitol_riverfront,38.87945040421178,-77.0001454777056,Good,2016,2444098789057934|211229097326569,data/images/mapillary_pilot/ADA_CurbRampPt_20386/2444098789057934.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_20386/211229097326569.jpg,ramp_present,usable,none,not_visible,hworku24,2026-09-01T19:00:45.427Z,
ADA_CurbRampPt_19095,navy_yard_capitol_riverfront,38.88863329482785,-76.99609936102561,Missing,2016,,,cannot_determine,,,,,2026-09-01T19:01:00.591Z,
ADA_CurbRampPt_22233,navy_yard_capitol_riverfront,38.885536428453804,-76.99014234429353,Non-Compliant,2016,1023804108193064|1193942281121807,data/images/mapillary_pilot/ADA_CurbRampPt_22233/1023804108193064.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_22233/1193942281121807.jpg,cannot_determine,poor,none,not_visible,hworku24,2026-09-01T19:01:07.629Z,
