detectable_warning,image_ids,image_paths,image_quality,inventory_condition,label_adjudication,label_adjudication_reason,label_timestamp,labeler,latitude,longitude,notes,occlusion,raw_truth_label,record_id,study_area,truth_label,year_inspected
cannot_determine,1014222285942022|1110578453899788,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1014222285942022.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_18645/1110578453899788.jpg,usable,Fair,retained,,2026-09-01T18:56:41.960Z,root_user,38.86849356883389,-76.98087721690601,,partial,ramp_absent,ADA_CurbRampPt_18645,anacostia_fairlawn,ramp_absent,2016
not_visible,1025729343731173|1143286596180012,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1025729343731173.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_11753/1143286596180012.jpg,good,Good,retained,,2026-09-01T18:57:53.139Z,hworku24,38.86581346352636,-76.97945035983177,,none,ramp_present,ADA_CurbRampPt_11753,anacostia_fairlawn,ramp_present,2016
not_visible,1171979521528074|1236546386804983,data/images/mapillary_pilot/ADA_CurbRampPt_31142/1171979521528074.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_31142/1236546386804983.jpg,good,Missing,retained,,2026-09-01T18:58:41.570Z,hworku24,38.85930735726929,-76.9886330409881,,none,ramp_absent,ADA_CurbRampPt_31142,anacostia_fairlawn,ramp_absent,2016
not_visible,1068495237935483|1059437341875718,data/images/mapillary_pilot/ADA_CurbRampPt_6680/1068495237935483.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_6680/1059437341875718.jpg,good,Non-Compliant,retained,,2026-09-01T18:59:04.099Z,hworku24,38.87697004681785,-76.96348681752639,,none,ramp_present,ADA_CurbRampPt_6680,anacostia_fairlawn,ramp_present,2016
not_visible,1193106424779832|118043211011192,data/images/mapillary_pilot/ADA_CurbRampPt_3245/1193106424779832.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_3245/118043211011192.jpg,good,Fair,retained,,2026-09-01T18:59:16.815Z,hworku24,38.92974563034023,-77.02763289023981,,none,ramp_absent,ADA_CurbRampPt_3245,columbia_heights_petworth,ramp_absent,2016
not_visible,1387181318324936|1147891249034894,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1387181318324936.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_28492/1147891249034894.jpg,unusable,Good,changed_to_cannot_determine,unusable_images_cannot_support_presence_or_absence,2026-09-01T18:59:41.324Z,hworku24,38.92599186840451,-77.03954525254238,,none,ramp_absent,ADA_CurbRampPt_28492,columbia_heights_petworth,cannot_determine,2016
not_visible,161294106608412|147945997354667,data/images/mapillary_pilot/ADA_CurbRampPt_2568/161294106608412.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_2568/147945997354667.jpg,usable,Missing,retained,,2026-09-01T19:00:06.113Z,hworku24,38.93555188315029,-77.02712071296699,,none,ramp_absent,ADA_CurbRampPt_2568,columbia_heights_petworth,ramp_absent,2016
not_visible,1331522562340689|1191360726455637,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1331522562340689.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_23006/1191360726455637.jpg,good,Non-Compliant,retained,,2026-09-01T19:00:22.049Z,hworku24,38.93402871611946,-77.02616414111131,,none,ramp_absent,ADA_CurbRampPt_23006,columbia_heights_petworth,ramp_absent,2016
cannot_determine,105474755634177|1021053455094760,data/images/mapillary_pilot/ADA_CurbRampPt_27682/105474755634177.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_27682/1021053455094760.jpg,unusable,Fair,retained,,2026-09-01T19:00:31.277Z,hworku24,38.873359991402225,-76.99166333582677,,unknown,cannot_determine,ADA_CurbRampPt_27682,navy_yard_capitol_riverfront,cannot_determine,2016
not_visible,2444098789057934|211229097326569,data/images/mapillary_pilot/ADA_CurbRampPt_20386/2444098789057934.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_20386/211229097326569.jpg,usable,Good,retained,,2026-09-01T19:00:45.427Z,hworku24,38.87945040421178,-77.0001454777056,,none,ramp_present,ADA_CurbRampPt_20386,navy_yard_capitol_riverfront,ramp_present,2016
,,,,Missing,retained,,2026-09-01T19:01:00.591Z,,38.88863329482785,-76.99609936102561,,,cannot_determine,ADA_CurbRampPt_19095,navy_yard_capitol_riverfront,cannot_determine,2016
not_visible,1023804108193064|1193942281121807,data/images/mapillary_pilot/ADA_CurbRampPt_22233/1023804108193064.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_22233/1193942281121807.jpg,poor,Non-Compliant,retained,,2026-09-01T19:01:07.629Z,hworku24,38.885536428453804,-76.99014234429353,,none,cannot_determine,ADA_CurbRampPt_22233,navy_yard_capitol_riverfront,cannot_determine,2016
