adjudication_reason,first_pass_image_ids,first_pass_image_quality,first_pass_truth_label,inventory_condition,latitude,longitude,record_id,resolution_basis,study_area,target_crop_image_ids,target_crop_image_quality,target_crop_truth_label,truth_label,year_inspected
,1014222285942022|1110578453899788,usable,ramp_absent,Fair,38.86849356883389,-76.98087721690601,ADA_CurbRampPt_18645,source_view_evidence_only,anacostia_fairlawn,1014222285942022|1110578453899788,usable,cannot_determine,ramp_absent,2016
,1025729343731173|1143286596180012,good,ramp_present,Good,38.86581346352636,-76.97945035983177,ADA_CurbRampPt_11753,source_view_evidence_only,anacostia_fairlawn,1025729343731173|1143286596180012,unusable,cannot_determine,ramp_present,2016
,1171979521528074|1236546386804983,good,ramp_absent,Missing,38.85930735726929,-76.9886330409881,ADA_CurbRampPt_31142,source_view_evidence_only,anacostia_fairlawn,1171979521528074,usable,cannot_determine,ramp_absent,2016
Ramp is not visible in either evidence set.,1068495237935483|1059437341875718,good,ramp_present,Non-Compliant,38.87697004681785,-76.96348681752639,ADA_CurbRampPt_6680,manual_adjudication,anacostia_fairlawn,1068495237935483|1059437341875718,good,ramp_absent,ramp_absent,2016
,1193106424779832|118043211011192,good,ramp_absent,Fair,38.92974563034023,-77.02763289023981,ADA_CurbRampPt_3245,passes_agree,columbia_heights_petworth,1193106424779832,good,ramp_absent,ramp_absent,2016
,1387181318324936|1147891249034894,unusable,cannot_determine,Good,38.92599186840451,-77.03954525254238,ADA_CurbRampPt_28492,target_crop_evidence_only,columbia_heights_petworth,1387181318324936|1147891249034894,good,ramp_absent,ramp_absent,2016
,161294106608412|147945997354667,usable,ramp_absent,Missing,38.93555188315029,-77.02712071296699,ADA_CurbRampPt_2568,passes_agree,columbia_heights_petworth,161294106608412|147945997354667,usable,ramp_absent,ramp_absent,2016
,1331522562340689|1191360726455637,good,ramp_absent,Non-Compliant,38.93402871611946,-77.02616414111131,ADA_CurbRampPt_23006,source_view_evidence_only,columbia_heights_petworth,1331522562340689|1191360726455637,unusable,cannot_determine,ramp_absent,2016
,105474755634177|1021053455094760,unusable,cannot_determine,Fair,38.873359991402225,-76.99166333582677,ADA_CurbRampPt_27682,passes_agree,navy_yard_capitol_riverfront,105474755634177|1021053455094760,unusable,cannot_determine,cannot_determine,2016
,2444098789057934|211229097326569,usable,ramp_present,Good,38.87945040421178,-77.0001454777056,ADA_CurbRampPt_20386,source_view_evidence_only,navy_yard_capitol_riverfront,2444098789057934|211229097326569,poor,cannot_determine,ramp_present,2016
,,,cannot_determine,Missing,38.88863329482785,-76.99609936102561,ADA_CurbRampPt_19095,passes_agree,navy_yard_capitol_riverfront,,unusable,cannot_determine,cannot_determine,2016
,1023804108193064|1193942281121807,poor,cannot_determine,Non-Compliant,38.885536428453804,-76.99014234429353,ADA_CurbRampPt_22233,passes_agree,navy_yard_capitol_riverfront,1023804108193064,unusable,cannot_determine,cannot_determine,2016
