detectable_warning,image_ids,image_paths,image_quality,inventory_condition,label_timestamp,labeler,latitude,longitude,notes,occlusion,record_id,study_area,truth_label,year_inspected
cannot_determine,1014222285942022|1110578453899788,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_18645/1014222285942022.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_18645/1110578453899788.jpg,usable,Fair,2026-09-21T19:14:04.162Z,root_user,38.86849356883389,-76.98087721690601,,none,ADA_CurbRampPt_18645,anacostia_fairlawn,cannot_determine,2016
not_visible,1025729343731173|1143286596180012,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_11753/1025729343731173.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_11753/1143286596180012.jpg,unusable,Good,2026-09-21T19:14:38.577Z,root_user,38.86581346352636,-76.97945035983177,,partial,ADA_CurbRampPt_11753,anacostia_fairlawn,cannot_determine,2016
not_visible,1171979521528074,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_31142/1171979521528074.jpg,usable,Missing,2026-09-21T19:14:57.681Z,root_user,38.85930735726929,-76.9886330409881,,partial,ADA_CurbRampPt_31142,anacostia_fairlawn,cannot_determine,2016
visible,1068495237935483|1059437341875718,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_6680/1068495237935483.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_6680/1059437341875718.jpg,good,Non-Compliant,2026-09-21T19:21:39.813Z,root_user,38.87697004681785,-76.96348681752639,,none,ADA_CurbRampPt_6680,anacostia_fairlawn,ramp_absent,2016
visible,1193106424779832,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_3245/1193106424779832.jpg,good,Fair,2026-09-21T19:22:32.237Z,root_user,38.92974563034023,-77.02763289023981,,none,ADA_CurbRampPt_3245,columbia_heights_petworth,ramp_absent,2016
visible,1387181318324936|1147891249034894,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_28492/1387181318324936.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_28492/1147891249034894.jpg,good,Good,2026-09-21T19:22:46.395Z,root_user,38.92599186840451,-77.03954525254238,,partial,ADA_CurbRampPt_28492,columbia_heights_petworth,ramp_absent,2016
visible,161294106608412|147945997354667,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_2568/161294106608412.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_2568/147945997354667.jpg,usable,Missing,2026-09-21T19:23:00.653Z,root_user,38.93555188315029,-77.02712071296699,"2022-12-07 · 10.3 m · directional bearing crop is good, 2019-07-27 · 13.2 m · directional bearing crop is unusable ",none,ADA_CurbRampPt_2568,columbia_heights_petworth,ramp_absent,2016
cannot_determine,1331522562340689|1191360726455637,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_23006/1331522562340689.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_23006/1191360726455637.jpg,unusable,Non-Compliant,2026-09-21T19:23:33.236Z,root_user,38.93402871611946,-77.02616414111131,,unknown,ADA_CurbRampPt_23006,columbia_heights_petworth,cannot_determine,2016
cannot_determine,105474755634177|1021053455094760,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_27682/105474755634177.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_27682/1021053455094760.jpg,unusable,Fair,2026-09-21T19:23:47.893Z,root_user,38.873359991402225,-76.99166333582677,,unknown,ADA_CurbRampPt_27682,navy_yard_capitol_riverfront,cannot_determine,2016
not_visible,2444098789057934|211229097326569,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_20386/2444098789057934.jpg|data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_20386/211229097326569.jpg,poor,Good,2026-09-21T19:24:00.217Z,root_user,38.87945040421178,-77.0001454777056,,severe,ADA_CurbRampPt_20386,navy_yard_capitol_riverfront,cannot_determine,2016
cannot_determine,,,unusable,Missing,2026-09-21T19:24:13.917Z,root_user,38.88863329482785,-76.99609936102561,,unknown,ADA_CurbRampPt_19095,navy_yard_capitol_riverfront,cannot_determine,2016
cannot_determine,1023804108193064,data/images/mapillary_pilot_target_crops/ADA_CurbRampPt_22233/1023804108193064.jpg,unusable,Non-Compliant,2026-09-21T19:24:23.850Z,root_user,38.885536428453804,-76.99014234429353,,unknown,ADA_CurbRampPt_22233,navy_yard_capitol_riverfront,cannot_determine,2016
