record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area,image_count,pano_count,non_pano_count,newest_captured_at,oldest_captured_at,coverage_available
ADA_CurbRampPt_10832,10832,-76.97085483516355,38.86953758384986,2.358500000002095,Fair,2016,1,anacostia_fairlawn,71,1,70,1782748047441,1535554764000,1
ADA_CurbRampPt_11395,11395,-76.9675654278966,38.87680651324278,-24.39079999999376,Fair,2016,1,anacostia_fairlawn,3,0,3,1702042413145,1575298085814,1
ADA_CurbRampPt_1495,1495,-76.95872168485694,38.86853145248082,11.471000000005006,Fair,2016,1,anacostia_fairlawn,60,15,45,1784043630439,1562939648000,1
ADA_CurbRampPt_15555,15555,-76.96803664740125,38.86009023242576,52.362899999992806,Fair,2016,1,anacostia_fairlawn,71,11,60,1778260674631,1545153562250,1
ADA_CurbRampPt_16084,16084,-76.98592200375629,38.85460111713596,23.694699999992736,Fair,2016,1,anacostia_fairlawn,95,14,81,1787151187798,1563119632000,1
ADA_CurbRampPt_16873,16873,-76.98069500183573,38.868434644572865,-19.872199999997974,Fair,2016,1,anacostia_fairlawn,36,5,31,1779196161739,1562856051656,1
ADA_CurbRampPt_18040,18040,-76.96001492991232,38.867922074464865,21.06479999999283,Fair,2016,1,anacostia_fairlawn,76,15,61,1707228872280,1562939436000,1
ADA_CurbRampPt_18645,18645,-76.98087721690601,38.86849356883389,-19.889999999999418,Fair,2016,1,anacostia_fairlawn,77,5,72,1787232938671,1535554226000,1
ADA_CurbRampPt_24464,24464,-76.98683971283374,38.85955238002881,11.962400000003981,Fair,2016,1,anacostia_fairlawn,35,2,33,1786369350762,1563120572500,1
ADA_CurbRampPt_28612,28612,-76.99035539016586,38.8625294984108,-11.303100000004633,Fair,2016,1,anacostia_fairlawn,78,5,73,1787930423516,1546265805558,1
ADA_CurbRampPt_29643,29643,-76.98374674675763,38.87908018354833,-15.351699999999255,Fair,2016,1,anacostia_fairlawn,74,6,68,1781103002966,1574524875456,1
ADA_CurbRampPt_6906,6906,-76.99132886871728,38.86392109693711,-19.167900000000373,Fair,2016,1,anacostia_fairlawn,70,24,46,1699531727164,1563123018000,1
