record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area,image_count,pano_count,non_pano_count,newest_captured_at,oldest_captured_at,coverage_available
ADA_CurbRampPt_18645,18645,-76.98087721690601,38.86849356883389,-19.889999999999418,Fair,2016,1,anacostia_fairlawn,66,4,62,1787152561766,1535554233000,1
ADA_CurbRampPt_11753,11753,-76.97945035983177,38.86581346352636,-9.22609999999986,Good,2016,1,anacostia_fairlawn,84,11,73,1787582944520,1535554041000,1
ADA_CurbRampPt_31142,31142,-76.9886330409881,38.85930735726929,15.076499999995576,Missing,2016,1,anacostia_fairlawn,55,4,51,1782483612655,1546267545492,1
ADA_CurbRampPt_6680,6680,-76.96348681752639,38.87697004681785,-16.449900000006892,Non-Compliant,2016,1,anacostia_fairlawn,87,10,77,1775223139432,1562943222000,1
ADA_CurbRampPt_3245,3245,-77.02763289023981,38.92974563034023,22.33990000000631,Fair,2016,1,columbia_heights_petworth,45,3,42,1776778448557,1515342292000,1
ADA_CurbRampPt_28492,28492,-77.03954525254238,38.92599186840451,22.442599999994854,Good,2016,1,columbia_heights_petworth,0,0,0,,,0
ADA_CurbRampPt_2568,2568,-77.02712071296699,38.93555188315029,18.694499999997788,Missing,2016,1,columbia_heights_petworth,49,3,46,1764776942814,1533470572000,1
ADA_CurbRampPt_23006,23006,-77.02616414111131,38.93402871611946,24.123399999996764,Non-Compliant,2016,1,columbia_heights_petworth,99,15,84,1670439488990,1533471213000,1
ADA_CurbRampPt_27682,27682,-76.99166333582677,38.873359991402225,-26.753700000001118,Fair,2016,1,navy_yard_capitol_riverfront,8,2,6,1639909834000,1568478317000,1
ADA_CurbRampPt_20386,20386,-77.0001454777056,38.87945040421178,-21.225800000000163,Good,2016,1,navy_yard_capitol_riverfront,26,1,25,1778511626421,1578663707000,1
ADA_CurbRampPt_19095,19095,-76.99609936102561,38.88863329482785,-7.028699999995297,Missing,2016,1,navy_yard_capitol_riverfront,22,4,18,1764598055096,1491645068000,1
ADA_CurbRampPt_22233,22233,-76.99014234429353,38.885536428453804,-7.853700000006938,Non-Compliant,2016,1,navy_yard_capitol_riverfront,26,3,23,1705170707129,1564768213000,1
