record_id,study_area,inventory_condition,record_latitude,record_longitude,image_id,image_path,image_latitude,image_longitude,captured_at,captured_at_iso,camera_type,is_pano,compass_angle,distance_to_record_m,bearing_to_record_deg,heading_difference_deg,faces_target,source,attribution
ADA_CurbRampPt_18645,anacostia_fairlawn,Fair,38.86849356883389,-76.98087721690601,1014222285942022,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1014222285942022.jpg,38.868466467913,-76.980861006865,1607608023500,2020-12-10T13:47:03.500000+00:00,spherical,True,237.4,3.32,335.03,97.63,1,Mapillary API,Mapillary
ADA_CurbRampPt_18645,anacostia_fairlawn,Fair,38.86849356883389,-76.98087721690601,1110578453899788,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1110578453899788.jpg,38.868428047729,-76.980948346531,1735398563781,2024-12-28T15:09:23.781000+00:00,perspective,False,80,9.54,40.21,39.79,1,Mapillary API,Mapillary
ADA_CurbRampPt_11753,anacostia_fairlawn,Good,38.86581346352636,-76.97945035983177,1025729343731173,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1025729343731173.jpg,38.865839657907,-76.979484258426,1782485865701,2026-06-26T14:57:45.701000+00:00,perspective,False,141,4.13,134.78,6.22,1,Mapillary API,Mapillary
ADA_CurbRampPt_11753,anacostia_fairlawn,Good,38.86581346352636,-76.97945035983177,1143286596180012,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1143286596180012.jpg,38.865777913484,-76.979412681516,1573408034000,2019-11-10T17:47:14+00:00,equirectangular,True,284.6,5.13,320.47,35.87,1,Mapillary API,Mapillary
ADA_CurbRampPt_31142,anacostia_fairlawn,Missing,38.85930735726929,-76.9886330409881,1171979521528074,data/images/mapillary_pilot/ADA_CurbRampPt_31142/1171979521528074.jpg,38.859288751028,-76.988646789284,1762967551474,2025-11-12T17:12:31.474000+00:00,perspective,False,20,2.39,29.92,9.92,1,Mapillary API,Mapillary
ADA_CurbRampPt_31142,anacostia_fairlawn,Missing,38.85930735726929,-76.9886330409881,1236546386804983,data/images/mapillary_pilot/ADA_CurbRampPt_31142/1236546386804983.jpg,38.859282091103,-76.988637592395,1546018363040,2018-12-28T17:32:43.040000+00:00,perspective,False,317.48162841797,2.84,7.98,50.5,1,Mapillary API,Mapillary
ADA_CurbRampPt_6680,anacostia_fairlawn,Non-Compliant,38.87697004681785,-76.96348681752639,1068495237935483,data/images/mapillary_pilot/ADA_CurbRampPt_6680/1068495237935483.jpg,38.876999968344,-76.963464562237,1702042750094,2023-12-08T13:39:10.094000+00:00,perspective,False,188.2229013443,3.84,210.07,21.85,1,Mapillary API,Mapillary
ADA_CurbRampPt_6680,anacostia_fairlawn,Non-Compliant,38.87697004681785,-76.96348681752639,1059437341875718,data/images/mapillary_pilot/ADA_CurbRampPt_6680/1059437341875718.jpg,38.87704399536,-76.963449564316,1702042749093,2023-12-08T13:39:09.093000+00:00,perspective,False,188.22287750244,8.83,201.41,13.19,1,Mapillary API,Mapillary
ADA_CurbRampPt_3245,columbia_heights_petworth,Fair,38.92974563034023,-77.02763289023981,1193106424779832,data/images/mapillary_pilot/ADA_CurbRampPt_3245/1193106424779832.jpg,38.929776158665,-77.027756879309,1604345681000,2020-11-02T19:34:41+00:00,spherical,True,348.6,11.25,107.56,118.96,1,Mapillary API,Mapillary
ADA_CurbRampPt_3245,columbia_heights_petworth,Fair,38.92974563034023,-77.02763289023981,118043211011192,data/images/mapillary_pilot/ADA_CurbRampPt_3245/118043211011192.jpg,38.929816239316,-77.02779650437,1638799110000,2021-12-06T13:58:30+00:00,perspective,False,168.86218831915,16.18,119.02,49.84,1,Mapillary API,Mapillary
ADA_CurbRampPt_28492,columbia_heights_petworth,Good,38.92599186840451,-77.03954525254238,1387181318324936,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1387181318324936.jpg,38.925789504146,-77.039172503439,1564259273000,2019-07-27T20:27:53+00:00,perspective,False,304.7,39.32,304.91,0.21,1,Mapillary API,Mapillary
ADA_CurbRampPt_28492,columbia_heights_petworth,Good,38.92599186840451,-77.03954525254238,1147891249034894,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1147891249034894.jpg,38.925829267862,-77.039141093955,1576778730284,2019-12-19T18:05:30.284000+00:00,perspective,False,290.39324951172,39.36,297.35,6.95,1,Mapillary API,Mapillary
ADA_CurbRampPt_2568,columbia_heights_petworth,Missing,38.93555188315029,-77.02712071296699,161294106608412,data/images/mapillary_pilot/ADA_CurbRampPt_2568/161294106608412.jpg,38.935474298754,-77.02718675808,1670439439984,2022-12-07T18:57:19.984000+00:00,perspective,False,-10.755906171049,10.35,33.51,44.27,1,Mapillary API,Mapillary
ADA_CurbRampPt_2568,columbia_heights_petworth,Missing,38.93555188315029,-77.02712071296699,147945997354667,data/images/mapillary_pilot/ADA_CurbRampPt_2568/147945997354667.jpg,38.935454593847,-77.027207835492,1564233203000,2019-07-27T13:13:23+00:00,perspective,False,1.4,13.18,34.86,33.46,1,Mapillary API,Mapillary
ADA_CurbRampPt_23006,columbia_heights_petworth,Non-Compliant,38.93402871611946,-77.02616414111131,1331522562340689,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1331522562340689.jpg,38.93401630018,-77.026087490984,1764767002782,2025-12-03T13:03:22.782000+00:00,perspective,False,261,6.77,281.76,20.76,1,Mapillary API,Mapillary
ADA_CurbRampPt_23006,columbia_heights_petworth,Non-Compliant,38.93402871611946,-77.02616414111131,1191360726455637,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1191360726455637.jpg,38.934050474817,-77.026078406003,1764767957839,2025-12-03T13:19:17.839000+00:00,perspective,False,224,7.8,251.93,27.93,1,Mapillary API,Mapillary
