record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area,split,selection_order,split_seed,image_count,pano_count,non_pano_count,newest_captured_at,oldest_captured_at,coverage_available
ADA_CurbRampPt_1495,1495,-76.95872168485694,38.86853145248082,11.471000000005006,Fair,2016,1,anacostia_fairlawn,development,1,20260922,42,4,38,1780584717901,1562939360000,1
ADA_CurbRampPt_28612,28612,-76.99035539016586,38.8625294984108,-11.303100000004633,Fair,2016,1,anacostia_fairlawn,development,2,20260922,62,2,60,1786368238690,1546019429904,1
ADA_CurbRampPt_15555,15555,-76.96803664740125,38.86009023242576,52.362899999992806,Fair,2016,1,anacostia_fairlawn,development,3,20260922,96,15,81,1786462493777,1545153583154,1
ADA_CurbRampPt_29643,29643,-76.98374674675763,38.87908018354833,-15.351699999999255,Fair,2016,1,anacostia_fairlawn,development,4,20260922,4,2,2,1669903585844,1567792494000,1
ADA_CurbRampPt_18040,18040,-76.96001492991232,38.867922074464865,21.06479999999283,Fair,2016,1,anacostia_fairlawn,development,5,20260922,38,6,32,1734189071239,1535033003275,1
ADA_CurbRampPt_24464,24464,-76.98683971283374,38.85955238002881,11.962400000003981,Fair,2016,1,anacostia_fairlawn,development,6,20260922,42,5,37,1785165916681,1546019378986,1
ADA_CurbRampPt_29685,29685,-76.9885677977928,38.860564569989826,2.953899999993155,Good,2016,1,anacostia_fairlawn,development,1,20260922,45,3,42,1786368409691,1563122329000,1
ADA_CurbRampPt_21231,21231,-76.98713419877689,38.867209304774356,-25.57289999999921,Good,2016,1,anacostia_fairlawn,development,2,20260922,99,15,84,1783350503585,1548165544357,1
ADA_CurbRampPt_14660,14660,-76.97621105506252,38.86541281101138,-4.066800000000512,Good,2016,1,anacostia_fairlawn,development,3,20260922,91,6,85,1787235794551,1545235029615,1
ADA_CurbRampPt_31671,31671,-76.99365680021182,38.8613319225489,-20.215599999995902,Good,2016,1,anacostia_fairlawn,development,4,20260922,98,26,72,1787582337521,1546263203055,1
ADA_CurbRampPt_32546,32546,-76.96988948795403,38.855252255745675,51.96490000000631,Good,2016,1,anacostia_fairlawn,development,5,20260922,83,6,77,1786461775771,1546274481588,1
ADA_CurbRampPt_2065,2065,-76.97892133875733,38.870706855752374,-23.69650000000547,Good,2016,1,anacostia_fairlawn,development,6,20260922,48,2,46,1781276130503,1563128941000,1
ADA_CurbRampPt_2541,2541,-76.95765168636848,38.862270832299565,54.05789999999979,Missing,2016,1,anacostia_fairlawn,development,1,20260922,75,2,73,1734544300977,1562954817000,1
ADA_CurbRampPt_16710,16710,-76.98228714290292,38.869532740024056,-24.48750000000291,Missing,2016,1,anacostia_fairlawn,development,2,20260922,0,0,0,,,0
ADA_CurbRampPt_21131,21131,-76.95921066661013,38.8724093519235,16.45560000000114,Missing,2016,1,anacostia_fairlawn,development,3,20260922,100,11,89,1733926420097,1562940717000,1
ADA_CurbRampPt_20058,20058,-76.98593259025148,38.85747785200763,22.621799999993527,Missing,2016,1,anacostia_fairlawn,development,4,20260922,41,12,29,1786371012726,1546016572081,1
ADA_CurbRampPt_4868,4868,-76.96989603826107,38.8549010583669,50.95309999999881,Missing,2016,1,anacostia_fairlawn,development,5,20260922,4,1,3,1736011831695,1576247841773,1
ADA_CurbRampPt_17848,17848,-76.9614405316037,38.85735447526058,47.31449999999313,Missing,2016,1,anacostia_fairlawn,development,6,20260922,79,1,78,1766418830192,1535553333000,1
ADA_CurbRampPt_10373,10373,-76.97049506682089,38.8657025397368,24.348599999997532,Non-Compliant,2016,1,anacostia_fairlawn,development,1,20260922,52,3,49,1786463512749,1545153692988,1
ADA_CurbRampPt_22117,22117,-76.99447294672326,38.86191778969414,-22.76020000000426,Non-Compliant,2016,1,anacostia_fairlawn,development,2,20260922,100,22,78,1779202513712,1576079712299,1
ADA_CurbRampPt_34782,34782,-76.98935735250313,38.85653220068565,20.074800000002142,Non-Compliant,2016,1,anacostia_fairlawn,development,3,20260922,62,21,41,1651065400000,1563119213000,1
ADA_CurbRampPt_28877,28877,-76.9682741011683,38.87478897874614,-24.426500000001397,Non-Compliant,2016,1,anacostia_fairlawn,development,4,20260922,34,6,28,1787153363800,1545223513512,1
ADA_CurbRampPt_487,487,-76.96572644243186,38.86943338017679,13.911600000006729,Non-Compliant,2016,1,anacostia_fairlawn,development,5,20260922,76,12,64,1707250338693,1535554900000,1
ADA_CurbRampPt_19684,19684,-76.9773022771041,38.870808484228704,-22.74199999999837,Non-Compliant,2016,1,anacostia_fairlawn,development,6,20260922,30,4,26,1762362800446,1548165350343,1
ADA_CurbRampPt_13438,13438,-77.02401943005553,38.93530790699755,25.917499999995925,Fair,2016,1,columbia_heights_petworth,development,1,20260922,0,0,0,,,0
ADA_CurbRampPt_21815,21815,-77.03632709488816,38.94181374463058,22.694699999992736,Fair,2016,1,columbia_heights_petworth,development,2,20260922,99,20,79,1783604951453,1418286987000,1
ADA_CurbRampPt_26154,26154,-77.03875240764508,38.94407836759565,38.529099999999744,Fair,2016,1,columbia_heights_petworth,development,3,20260922,1,0,1,1562700002000,1562700002000,1
ADA_CurbRampPt_2899,2899,-77.02771208209002,38.95298352840959,25.66160000000673,Fair,2016,1,columbia_heights_petworth,development,4,20260922,91,5,86,1786974959641,1544792413598,1
ADA_CurbRampPt_3417,3417,-77.0328468627307,38.941810038782144,16.518500000005588,Fair,2016,1,columbia_heights_petworth,development,5,20260922,62,4,58,1786972087701,1498898989000,1
ADA_CurbRampPt_17124,17124,-77.02836388657408,38.9573446347301,44.41659999999683,Fair,2016,1,columbia_heights_petworth,development,6,20260922,62,6,56,1787838019732,1544792458363,1
ADA_CurbRampPt_13112,13112,-77.02212820043407,38.95087675670894,36.26810000000114,Good,2016,1,columbia_heights_petworth,development,1,20260922,90,4,86,1785248662872,1544713201208,1
ADA_CurbRampPt_30713,30713,-77.03283715252473,38.934194648347074,24.151899999997113,Good,2016,1,columbia_heights_petworth,development,2,20260922,52,2,50,1764603655381,1492786075000,1
ADA_CurbRampPt_31366,31366,-77.02192735742467,38.946704167131664,35.66220000000612,Good,2016,1,columbia_heights_petworth,development,3,20260922,54,2,52,1784208473487,1535622001000,1
ADA_CurbRampPt_19769,19769,-77.02514394755327,38.94179258991034,25.448499999998603,Good,2016,1,columbia_heights_petworth,development,4,20260922,33,7,26,1786972386710,1535283997000,1
ADA_CurbRampPt_5665,5665,-77.03332154387795,38.959366596908744,49.61460000000079,Good,2016,1,columbia_heights_petworth,development,5,20260922,50,3,47,1780413486422,1545037405784,1
ADA_CurbRampPt_22154,22154,-77.01930321691516,38.942474067768195,41.10030000000552,Good,2016,1,columbia_heights_petworth,development,6,20260922,62,8,54,1783601035571,1512662023000,1
ADA_CurbRampPt_31784,31784,-77.02963003669694,38.92667955408635,21.753700000001118,Missing,2016,1,columbia_heights_petworth,development,1,20260922,65,0,65,1765291261454,1574184594651,1
ADA_CurbRampPt_29780,29780,-77.03895109374963,38.92144161044905,16.714000000007218,Missing,2016,1,columbia_heights_petworth,development,2,20260922,0,0,0,,,0
ADA_CurbRampPt_8054,8054,-77.01983813162283,38.959519068806166,32.00699999999779,Missing,2016,1,columbia_heights_petworth,development,3,20260922,94,9,85,1701955171311,1418574161000,1
ADA_CurbRampPt_16860,16860,-77.02297639217053,38.9280739534795,26.346799999999348,Missing,2016,1,columbia_heights_petworth,development,4,20260922,1,0,1,1715267879797,1715267879797,1
ADA_CurbRampPt_2098,2098,-77.02725972702453,38.95143087249156,22.4320000000007,Missing,2016,1,columbia_heights_petworth,development,5,20260922,0,0,0,,,0
