record_id,study_area,inventory_condition,record_latitude,record_longitude,image_id,image_path,image_latitude,image_longitude,captured_at,captured_at_iso,camera_type,is_pano,compass_angle,distance_to_record_m,bearing_to_record_deg,heading_difference_deg,signed_heading_difference_deg,faces_target,source,attribution
ADA_CurbRampPt_1495,anacostia_fairlawn,Fair,38.86853145248082,-76.95872168485694,1463505824089475,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/1463505824089475.jpg,38.868661728329,-76.958683944269,1604671217500,2020-11-06T14:00:17.500000+00:00,spherical,True,297.9,14.85,192.71,105.19,-105.19,1,Mapillary API,Mapillary
ADA_CurbRampPt_1495,anacostia_fairlawn,Fair,38.86853145248082,-76.95872168485694,172693305215677,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/172693305215677.jpg,38.868687233192,-76.958746216328,1604671218000,2020-11-06T14:00:18+00:00,spherical,True,297.7,17.45,173.01,124.69,-124.69,1,Mapillary API,Mapillary
ADA_CurbRampPt_28612,anacostia_fairlawn,Fair,38.8625294984108,-76.99035539016586,1020699110377009,data/images/mapillary_scaleup_development/ADA_CurbRampPt_28612/1020699110377009.jpg,38.862527333507,-76.99033189115,1780925830776,2026-06-08T13:37:10.776000+00:00,perspective,False,222,2.05,276.75,54.75,54.75,1,Mapillary API,Mapillary
ADA_CurbRampPt_28612,anacostia_fairlawn,Fair,38.8625294984108,-76.99035539016586,1025701716477953,data/images/mapillary_scaleup_development/ADA_CurbRampPt_28612/1025701716477953.jpg,38.862527823796,-76.990323832378,1780925823757,2026-06-08T13:37:03.757000+00:00,perspective,False,213,2.74,273.9,60.9,60.9,1,Mapillary API,Mapillary
ADA_CurbRampPt_15555,anacostia_fairlawn,Fair,38.86009023242576,-76.96803664740125,1134295593800317,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/1134295593800317.jpg,38.85969175,-76.967518245302,1605030139500,2020-11-10T17:42:19.500000+00:00,spherical,True,226.5,63.07,314.63,88.13,88.13,1,Mapillary API,Mapillary
ADA_CurbRampPt_15555,anacostia_fairlawn,Fair,38.86009023242576,-76.96803664740125,108964308466481,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/108964308466481.jpg,38.859708561838,-76.96744960674,1605038778000,2020-11-10T20:06:18+00:00,spherical,True,226.5,66.22,309.86,83.36,83.36,1,Mapillary API,Mapillary
ADA_CurbRampPt_29643,anacostia_fairlawn,Fair,38.87908018354833,-76.98374674675763,1657034715350161,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29643/1657034715350161.jpg,38.879126173831,-76.98373697788,1781102993791,2026-06-10T14:49:53.791000+00:00,perspective,False,251,5.18,189.39,61.61,-61.61,1,Mapillary API,Mapillary
ADA_CurbRampPt_29643,anacostia_fairlawn,Fair,38.87908018354833,-76.98374674675763,107771068534708,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29643/107771068534708.jpg,38.879082977211,-76.983652689147,1602098198500,2020-10-07T19:16:38.500000+00:00,spherical,True,179.2,8.15,267.82,88.62,88.62,1,Mapillary API,Mapillary
ADA_CurbRampPt_18040,anacostia_fairlawn,Fair,38.867922074464865,-76.96001492991232,3411558199155301,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/3411558199155301.jpg,38.867925200486,-76.95999855931,1702566533080,2023-12-14T15:08:53.080000+00:00,perspective,False,226.2225446701,1.46,256.22,30.0,30.0,1,Mapillary API,Mapillary
ADA_CurbRampPt_18040,anacostia_fairlawn,Fair,38.867922074464865,-76.96001492991232,304640595758625,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/304640595758625.jpg,38.867928326973,-76.959964422086,1702561857841,2023-12-14T13:50:57.841000+00:00,perspective,False,246.22249698639,4.43,260.97,14.74,14.74,1,Mapillary API,Mapillary
ADA_CurbRampPt_24464,anacostia_fairlawn,Fair,38.85955238002881,-76.98683971283374,1039410298426788,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1039410298426788.jpg,38.859280478272,-76.986589946346,1780925732717,2026-06-08T13:35:32.717000+00:00,perspective,False,301,37.17,324.42,23.42,23.42,1,Mapillary API,Mapillary
ADA_CurbRampPt_24464,anacostia_fairlawn,Fair,38.85955238002881,-76.98683971283374,1132852003967538,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1132852003967538.jpg,38.859285247356,-76.986581198038,1637069821000,2021-11-16T13:37:01+00:00,perspective,False,314.62404640348,37.19,323.0,8.38,8.38,1,Mapillary API,Mapillary
ADA_CurbRampPt_29685,anacostia_fairlawn,Good,38.860564569989826,-76.9885677977928,356554336131138,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29685/356554336131138.jpg,38.86046072516,-76.988771099099,1573478381090,2019-11-11T13:19:41.090000+00:00,perspective,False,30.077453613281,21.05,56.74,26.66,26.66,1,Mapillary API,Mapillary
ADA_CurbRampPt_29685,anacostia_fairlawn,Good,38.860564569989826,-76.9885677977928,3113799012282169,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29685/3113799012282169.jpg,38.860438875638,-76.988772295726,1602350483000,2020-10-10T17:21:23+00:00,spherical,True,219.5,22.56,51.71,167.79,-167.79,1,Mapillary API,Mapillary
ADA_CurbRampPt_21231,anacostia_fairlawn,Good,38.867209304774356,-76.98713419877689,1201961267017384,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21231/1201961267017384.jpg,38.867177735282,-76.98711087805,1638267522000,2021-11-30T10:18:42+00:00,perspective,False,284.98409378549,4.05,330.09,45.11,45.11,1,Mapillary API,Mapillary
ADA_CurbRampPt_21231,anacostia_fairlawn,Good,38.867209304774356,-76.98713419877689,1087808391749879,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21231/1087808391749879.jpg,38.867180575263,-76.987179378915,1573407356500,2019-11-10T17:35:56.500000+00:00,equirectangular,True,282.8,5.05,50.76,127.96,127.96,1,Mapillary API,Mapillary
ADA_CurbRampPt_14660,anacostia_fairlawn,Good,38.86541281101138,-76.97621105506252,1001758227397335,data/images/mapillary_scaleup_development/ADA_CurbRampPt_14660/1001758227397335.jpg,38.865444577895,-76.976084543163,1602181258500,2020-10-08T18:20:58.500000+00:00,spherical,True,32.3,11.51,252.13,140.17,-140.17,1,Mapillary API,Mapillary
ADA_CurbRampPt_14660,anacostia_fairlawn,Good,38.86541281101138,-76.97621105506252,1241235830529773,data/images/mapillary_scaleup_development/ADA_CurbRampPt_14660/1241235830529773.jpg,38.865517869577,-76.976288204974,1730464559488,2024-11-01T12:35:59.488000+00:00,perspective,False,142,13.46,150.24,8.24,8.24,1,Mapillary API,Mapillary
ADA_CurbRampPt_32546,anacostia_fairlawn,Good,38.855252255745675,-76.96988948795403,1078823796179348,data/images/mapillary_scaleup_development/ADA_CurbRampPt_32546/1078823796179348.jpg,38.855170045496,-76.969917359314,1602346131000,2020-10-10T16:08:51+00:00,spherical,True,226.7,9.45,14.79,148.09,148.09,1,Mapillary API,Mapillary
ADA_CurbRampPt_32546,anacostia_fairlawn,Good,38.855252255745675,-76.96988948795403,1018569480679227,data/images/mapillary_scaleup_development/ADA_CurbRampPt_32546/1018569480679227.jpg,38.855145507162,-76.969911689359,1781271604511,2026-06-12T13:40:04.511000+00:00,perspective,False,322,12.02,9.2,47.2,47.2,1,Mapillary API,Mapillary
ADA_CurbRampPt_2541,anacostia_fairlawn,Missing,38.862270832299565,-76.95765168636848,1163270917568160,data/images/mapillary_scaleup_development/ADA_CurbRampPt_2541/1163270917568160.jpg,38.862167637912,-76.957910205119,1605027328000,2020-11-10T16:55:28+00:00,spherical,True,252.5,25.15,62.86,170.36,170.36,1,Mapillary API,Mapillary
ADA_CurbRampPt_2541,anacostia_fairlawn,Missing,38.862270832299565,-76.95765168636848,1060463751769459,data/images/mapillary_scaleup_development/ADA_CurbRampPt_2541/1060463751769459.jpg,38.862139577298,-76.957903152001,1702400155193,2023-12-12T16:55:55.193000+00:00,perspective,False,61.222418785095,26.21,56.16,5.06,-5.06,1,Mapillary API,Mapillary
ADA_CurbRampPt_21131,anacostia_fairlawn,Missing,38.8724093519235,-76.95921066661013,1145904273555095,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21131/1145904273555095.jpg,38.872409617259,-76.959185739742,1733926412734,2024-12-11T14:13:32.734000+00:00,perspective,False,284,2.16,269.22,14.78,-14.78,1,Mapillary API,Mapillary
ADA_CurbRampPt_21131,anacostia_fairlawn,Missing,38.8724093519235,-76.95921066661013,1038638224081909,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21131/1038638224081909.jpg,38.872394805239,-76.959264514056,1702565912589,2023-12-14T14:58:32.589000+00:00,perspective,False,98.221455574036,4.93,70.86,27.36,-27.36,1,Mapillary API,Mapillary
