attribution,bearing_to_record_deg,blur_variance,camera_type,captured_at,captured_at_iso,compass_angle,contrast,distance_to_record_m,faces_target,heading_difference_deg,height,image_id,image_latitude,image_longitude,image_path,inventory_condition,is_pano,mean_brightness,quality_gate_pass,quality_rejection_reasons,record_id,record_latitude,record_longitude,signed_heading_difference_deg,source,study_area,threshold_status,width
Mapillary,192.71,936.575,spherical,1604671217500,2020-11-06T14:00:17.500000+00:00,297.9,86.638,14.85,1,105.19,1024,1463505824089475,38.868661728329,-76.958683944269,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/1463505824089475.jpg,Fair,True,86.861,1,,ADA_CurbRampPt_1495,38.86853145248082,-76.95872168485694,-105.19,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,173.01,642.272,spherical,1604671218000,2020-11-06T14:00:18+00:00,297.7,87.234,17.45,1,124.69,1024,172693305215677,38.868687233192,-76.958746216328,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/172693305215677.jpg,Fair,True,91.433,1,,ADA_CurbRampPt_1495,38.86853145248082,-76.95872168485694,-124.69,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,276.75,651.248,perspective,1780925830776,2026-06-08T13:37:10.776000+00:00,222,55.239,2.05,1,54.75,1536,1020699110377009,38.862527333507,-76.99033189115,data/images/mapillary_scaleup_development/ADA_CurbRampPt_28612/1020699110377009.jpg,Fair,False,119.288,1,,ADA_CurbRampPt_28612,38.8625294984108,-76.99035539016586,54.75,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,273.9,665.19,perspective,1780925823757,2026-06-08T13:37:03.757000+00:00,213,55.382,2.74,1,60.9,1536,1025701716477953,38.862527823796,-76.990323832378,data/images/mapillary_scaleup_development/ADA_CurbRampPt_28612/1025701716477953.jpg,Fair,False,125.756,1,,ADA_CurbRampPt_28612,38.8625294984108,-76.99035539016586,60.9,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,314.63,542.549,spherical,1605030139500,2020-11-10T17:42:19.500000+00:00,226.5,57.118,63.07,1,88.13,1024,1134295593800317,38.85969175,-76.967518245302,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/1134295593800317.jpg,Fair,True,81.408,1,,ADA_CurbRampPt_15555,38.86009023242576,-76.96803664740125,88.13,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,309.86,628.343,spherical,1605038778000,2020-11-10T20:06:18+00:00,226.5,60.032,66.22,1,83.36,1024,108964308466481,38.859708561838,-76.96744960674,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/108964308466481.jpg,Fair,True,86.214,1,,ADA_CurbRampPt_15555,38.86009023242576,-76.96803664740125,83.36,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,189.39,454.507,perspective,1781102993791,2026-06-10T14:49:53.791000+00:00,251,59.718,5.18,1,61.61,1536,1657034715350161,38.879126173831,-76.98373697788,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29643/1657034715350161.jpg,Fair,False,136.545,1,,ADA_CurbRampPt_29643,38.87908018354833,-76.98374674675763,-61.61,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,267.82,469.303,spherical,1602098198500,2020-10-07T19:16:38.500000+00:00,179.2,61.725,8.15,1,88.62,1024,107771068534708,38.879082977211,-76.983652689147,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29643/107771068534708.jpg,Fair,True,76.599,1,,ADA_CurbRampPt_29643,38.87908018354833,-76.98374674675763,88.62,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,256.22,9515.508,perspective,1702566533080,2023-12-14T15:08:53.080000+00:00,226.2225446701,62.044,1.46,1,30.0,1536,3411558199155301,38.867925200486,-76.95999855931,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/3411558199155301.jpg,Fair,False,150.456,1,,ADA_CurbRampPt_18040,38.867922074464865,-76.96001492991232,30.0,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,260.97,4541.681,perspective,1702561857841,2023-12-14T13:50:57.841000+00:00,246.22249698639,63.581,4.43,1,14.74,1536,304640595758625,38.867928326973,-76.959964422086,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/304640595758625.jpg,Fair,False,126.148,1,,ADA_CurbRampPt_18040,38.867922074464865,-76.96001492991232,14.74,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,324.42,624.81,perspective,1780925732717,2026-06-08T13:35:32.717000+00:00,301,53.391,37.17,1,23.42,1536,1039410298426788,38.859280478272,-76.986589946346,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1039410298426788.jpg,Fair,False,125.745,1,,ADA_CurbRampPt_24464,38.85955238002881,-76.98683971283374,23.42,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,323.0,746.535,perspective,1637069821000,2021-11-16T13:37:01+00:00,314.62404640348,44.972,37.19,1,8.38,1084,1132852003967538,38.859285247356,-76.986581198038,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1132852003967538.jpg,Fair,False,138.475,1,,ADA_CurbRampPt_24464,38.85955238002881,-76.98683971283374,8.38,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,56.74,1592.969,perspective,1573478381090,2019-11-11T13:19:41.090000+00:00,30.077453613281,73.026,21.05,1,26.66,1152,356554336131138,38.86046072516,-76.988771099099,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29685/356554336131138.jpg,Good,False,111.02,1,,ADA_CurbRampPt_29685,38.860564569989826,-76.9885677977928,26.66,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,51.71,343.038,spherical,1602350483000,2020-10-10T17:21:23+00:00,219.5,78.912,22.56,1,167.79,1024,3113799012282169,38.860438875638,-76.988772295726,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29685/3113799012282169.jpg,Good,True,84.858,1,,ADA_CurbRampPt_29685,38.860564569989826,-76.9885677977928,-167.79,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,330.09,842.659,perspective,1638267522000,2021-11-30T10:18:42+00:00,284.98409378549,47.342,4.05,1,45.11,1084,1201961267017384,38.867177735282,-76.98711087805,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21231/1201961267017384.jpg,Good,False,157.717,1,,ADA_CurbRampPt_21231,38.867209304774356,-76.98713419877689,45.11,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,50.76,1498.137,equirectangular,1573407356500,2019-11-10T17:35:56.500000+00:00,282.8,77.484,5.05,1,127.96,1024,1087808391749879,38.867180575263,-76.987179378915,data/images/mapillary_scaleup_development/ADA_CurbRampPt_21231/1087808391749879.jpg,Good,True,129.641,1,,ADA_CurbRampPt_21231,38.867209304774356,-76.98713419877689,127.96,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,252.13,479.585,spherical,1602181258500,2020-10-08T18:20:58.500000+00:00,32.3,60.823,11.51,1,140.17,1024,1001758227397335,38.865444577895,-76.976084543163,data/images/mapillary_scaleup_development/ADA_CurbRampPt_14660/1001758227397335.jpg,Good,True,90.938,1,,ADA_CurbRampPt_14660,38.86541281101138,-76.97621105506252,-140.17,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,150.24,495.775,perspective,1730464559488,2024-11-01T12:35:59.488000+00:00,142,67.841,13.46,1,8.24,1536,1241235830529773,38.865517869577,-76.976288204974,data/images/mapillary_scaleup_development/ADA_CurbRampPt_14660/1241235830529773.jpg,Good,False,122.346,1,,ADA_CurbRampPt_14660,38.86541281101138,-76.97621105506252,8.24,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,14.79,403.873,spherical,1602346131000,2020-10-10T16:08:51+00:00,226.7,84.284,9.45,1,148.09,1024,1078823796179348,38.855170045496,-76.969917359314,data/images/mapillary_scaleup_development/ADA_CurbRampPt_32546/1078823796179348.jpg,Good,True,104.975,1,,ADA_CurbRampPt_32546,38.855252255745675,-76.96988948795403,148.09,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
Mapillary,9.2,657.668,perspective,1781271604511,2026-06-12T13:40:04.511000+00:00,322,55.872,12.02,1,47.2,1536,1018569480679227,38.855145507162,-76.969911689359,data/images/mapillary_scaleup_development/ADA_CurbRampPt_32546/1018569480679227.jpg,Good,False,125.77,1,,ADA_CurbRampPt_32546,38.855252255745675,-76.96988948795403,47.2,Mapillary API,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,2048
