assumed_horizontal_fov_degrees,attribution,bearing_to_record_deg,camera_type,captured_at,captured_at_iso,compass_angle,crop_sha256,distance_to_record_m,faces_target,heading_difference_deg,image_id,image_latitude,image_longitude,image_path,inventory_condition,is_pano,projection_method,record_id,record_latitude,record_longitude,signed_heading_difference_deg,source,source_image_path,source_image_sha256,source_is_pano,study_area
90.0,Mapillary,192.71,spherical,1604671217500,2020-11-06T14:00:17.500000+00:00,297.9,0a9c75a6118e282000fc65909757f6c25fed365e64160ffa2babf80375c2a426,14.85,1,0,1463505824089475,38.868661728329,-76.958683944269,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_1495/1463505824089475.jpg,Fair,0,equirectangular_to_perspective,ADA_CurbRampPt_1495,38.86853145248082,-76.95872168485694,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/1463505824089475.jpg,764206b6becd9ee431579353fb3bf35433f7bd50e482de249747e6771cc98d75,1,anacostia_fairlawn
90.0,Mapillary,173.01,spherical,1604671218000,2020-11-06T14:00:18+00:00,297.7,19d09fd9957392e1f0b7b8e11b3e0daf30dcf857f2d08749e6de99812ef8d401,17.45,1,0,172693305215677,38.868687233192,-76.958746216328,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_1495/172693305215677.jpg,Fair,0,equirectangular_to_perspective,ADA_CurbRampPt_1495,38.86853145248082,-76.95872168485694,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_1495/172693305215677.jpg,5ed7d865d435077c1766dddbca96761160c176d204b69ca3288938f64866a516,1,anacostia_fairlawn
90.0,Mapillary,314.63,spherical,1605030139500,2020-11-10T17:42:19.500000+00:00,226.5,ef12a3e0e6c4caa32868f46faefc43fd7e46c5bd2c6c04d21db3b088c984936b,63.07,1,0,1134295593800317,38.85969175,-76.967518245302,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_15555/1134295593800317.jpg,Fair,0,equirectangular_to_perspective,ADA_CurbRampPt_15555,38.86009023242576,-76.96803664740125,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/1134295593800317.jpg,c921f6d2bf76a8b424dc79b5d64d4c97200862ef8a4172913276bc51fc60c165,1,anacostia_fairlawn
90.0,Mapillary,309.86,spherical,1605038778000,2020-11-10T20:06:18+00:00,226.5,2ebe388d3293680b0f77e02048f4a02d224fb0eae21487c5d30cc14222b901d3,66.22,1,0,108964308466481,38.859708561838,-76.96744960674,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_15555/108964308466481.jpg,Fair,0,equirectangular_to_perspective,ADA_CurbRampPt_15555,38.86009023242576,-76.96803664740125,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_15555/108964308466481.jpg,61bf1e319f84cfed4f7dcab23d5c1440fe77f4b301c4cc387e7d923bca6a006d,1,anacostia_fairlawn
90.0,Mapillary,267.82,spherical,1602098198500,2020-10-07T19:16:38.500000+00:00,179.2,fabca4aaa0bfc77e555d5f82575838efa5dc76e80dd7b79e33d97f7c0754e09c,8.15,1,0,107771068534708,38.879082977211,-76.983652689147,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_29643/107771068534708.jpg,Fair,0,equirectangular_to_perspective,ADA_CurbRampPt_29643,38.87908018354833,-76.98374674675763,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29643/107771068534708.jpg,900411399eeb2a0d8998369ecb136c805b441aa94eee61d866e75cd30164c79c,1,anacostia_fairlawn
90.0,Mapillary,256.22,perspective,1702566533080,2023-12-14T15:08:53.080000+00:00,226.2225446701,7656ec2621c2819cfba2a136e41b4bdcce2432e2c34b56b6605e46948d8d0e85,1.46,1,0,3411558199155301,38.867925200486,-76.95999855931,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_18040/3411558199155301.jpg,Fair,0,directional_bearing_crop,ADA_CurbRampPt_18040,38.867922074464865,-76.96001492991232,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/3411558199155301.jpg,445d639625e6e07655dc25c8919319ab2b0e28a62721265449cc49dac897ea2d,0,anacostia_fairlawn
90.0,Mapillary,260.97,perspective,1702561857841,2023-12-14T13:50:57.841000+00:00,246.22249698639,f2c8872d57fb890fcf9f96b44aa3eebd41edcfefc734255d949c1f4c2bc76e19,4.43,1,0,304640595758625,38.867928326973,-76.959964422086,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_18040/304640595758625.jpg,Fair,0,directional_bearing_crop,ADA_CurbRampPt_18040,38.867922074464865,-76.96001492991232,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_18040/304640595758625.jpg,ce26946bfd5182df591a6e683e0da2142bf9b73bd968632dd38e4e5f99aad6d2,0,anacostia_fairlawn
90.0,Mapillary,324.42,perspective,1780925732717,2026-06-08T13:35:32.717000+00:00,301,f025ce7c98932a14817409ec754ee948f75911cee545f216652df350582e5b1e,37.17,1,0,1039410298426788,38.859280478272,-76.986589946346,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_24464/1039410298426788.jpg,Fair,0,directional_bearing_crop,ADA_CurbRampPt_24464,38.85955238002881,-76.98683971283374,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1039410298426788.jpg,1e227cadbc8df0f16f634d05b5d9be2b12a2e033453b7a78ef054515ff98dd4c,0,anacostia_fairlawn
90.0,Mapillary,323.0,perspective,1637069821000,2021-11-16T13:37:01+00:00,314.62404640348,203f21cd2f747f9bd0d72a3877e05b9c53ee631337cb6a23a046e9a4e919773e,37.19,1,0,1132852003967538,38.859285247356,-76.986581198038,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_24464/1132852003967538.jpg,Fair,0,directional_bearing_crop,ADA_CurbRampPt_24464,38.85955238002881,-76.98683971283374,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_24464/1132852003967538.jpg,5daef18232437834bed0c6cc8239984bd3a6cbcb978f4d44069245bc4214e538,0,anacostia_fairlawn
90.0,Mapillary,56.74,perspective,1573478381090,2019-11-11T13:19:41.090000+00:00,30.077453613281,806cab474e03c8ab02910c9173f0e0793d617df6e7f55bf2e2d93efb90707f8e,21.05,1,0,356554336131138,38.86046072516,-76.988771099099,data/images/mapillary_scaleup_development_target_crops/ADA_CurbRampPt_29685/356554336131138.jpg,Good,0,directional_bearing_crop,ADA_CurbRampPt_29685,38.860564569989826,-76.9885677977928,0,Mapillary API,data/images/mapillary_scaleup_development/ADA_CurbRampPt_29685/356554336131138.jpg,1b817ccd2ad270bf48bed97ed44de140f0bbfa7f767e4b31df6cb8312aeed3a7,0,anacostia_fairlawn
