record_id,object_id,longitude,latitude,elevation,condition,year_inspected,status_code,study_area,split,selection_order,split_seed
ADA_CurbRampPt_16084,16084,-76.98592200375629,38.85460111713596,23.694699999992736,Fair,2016,1,anacostia_fairlawn,held_out,1,20260922
ADA_CurbRampPt_10832,10832,-76.97085483516355,38.86953758384986,2.358500000002095,Fair,2016,1,anacostia_fairlawn,held_out,2,20260922
ADA_CurbRampPt_29374,29374,-76.98611516306562,38.85037490013754,24.360499999995227,Good,2016,1,anacostia_fairlawn,held_out,1,20260922
ADA_CurbRampPt_32843,32843,-76.96786170499405,38.87300974442553,-14.522400000001653,Good,2016,1,anacostia_fairlawn,held_out,2,20260922
ADA_CurbRampPt_23419,23419,-76.9874845452247,38.86287396290198,-7.645099999994272,Missing,2016,1,anacostia_fairlawn,held_out,1,20260922
ADA_CurbRampPt_9874,9874,-76.96822290560064,38.85869289741897,49.453999999997905,Missing,2016,1,anacostia_fairlawn,held_out,2,20260922
ADA_CurbRampPt_1227,1227,-76.96223118776648,38.86294075691527,53.24959999999555,Non-Compliant,2016,1,anacostia_fairlawn,held_out,1,20260922
ADA_CurbRampPt_10872,10872,-76.97254484451834,38.86686831667815,3.014599999994971,Non-Compliant,2016,1,anacostia_fairlawn,held_out,2,20260922
ADA_CurbRampPt_2278,2278,-77.02130573125238,38.937131307817,31.596900000004098,Fair,2016,1,columbia_heights_petworth,held_out,1,20260922
ADA_CurbRampPt_16907,16907,-77.0268370517886,38.93221524203864,25.590299999996205,Fair,2016,1,columbia_heights_petworth,held_out,2,20260922
ADA_CurbRampPt_10535,10535,-77.02255014567145,38.95930539489035,38.75890000000072,Good,2016,1,columbia_heights_petworth,held_out,1,20260922
ADA_CurbRampPt_10550,10550,-77.02639404525927,38.93085271736973,23.545800000007148,Good,2016,1,columbia_heights_petworth,held_out,2,20260922
ADA_CurbRampPt_13876,13876,-77.02982692470654,38.925707330871184,24.278099999995902,Missing,2016,1,columbia_heights_petworth,held_out,1,20260922
ADA_CurbRampPt_13749,13749,-77.02980855623949,38.92238936277619,26.32279999999446,Missing,2016,1,columbia_heights_petworth,held_out,2,20260922
ADA_CurbRampPt_15117,15117,-77.0297901456086,38.954171222610256,38.039099999994505,Non-Compliant,2016,1,columbia_heights_petworth,held_out,1,20260922
ADA_CurbRampPt_32537,32537,-77.03330204761507,38.95966109329321,49.33719999999448,Non-Compliant,2016,1,columbia_heights_petworth,held_out,2,20260922
ADA_CurbRampPt_25430,25430,-76.98556077049405,38.865874096575794,-18.588000000003376,Fair,2016,1,navy_yard_capitol_riverfront,held_out,1,20260922
ADA_CurbRampPt_25298,25298,-77.0122907035984,38.87634678855656,-29.822100000004866,Fair,2016,1,navy_yard_capitol_riverfront,held_out,2,20260922
ADA_CurbRampPt_11016,11016,-76.99075391325051,38.86529764775825,-23.819900000002235,Good,2016,1,navy_yard_capitol_riverfront,held_out,1,20260922
ADA_CurbRampPt_14800,14800,-76.99272938452216,38.88416497625831,-9.012199999997392,Good,2016,1,navy_yard_capitol_riverfront,held_out,2,20260922
ADA_CurbRampPt_25596,25596,-77.00064416409028,38.883315121575706,-11.13300000000163,Missing,2016,1,navy_yard_capitol_riverfront,held_out,1,20260922
ADA_CurbRampPt_9466,9466,-77.01492968631644,38.8813483988936,-28.387400000006892,Missing,2016,1,navy_yard_capitol_riverfront,held_out,2,20260922
ADA_CurbRampPt_12135,12135,-77.00344571629584,38.88192144963877,-16.918799999999464,Non-Compliant,2016,1,navy_yard_capitol_riverfront,held_out,1,20260922
ADA_CurbRampPt_4658,4658,-76.99942550130132,38.88765968151158,-8.307499999995343,Non-Compliant,2016,1,navy_yard_capitol_riverfront,held_out,2,20260922
