aggregation_reason,confidence,detectable_warning,effective_prediction,image_ids,image_paths,image_quality,inventory_condition,label_adjudication,label_adjudication_reason,label_timestamp,labeler,latency_ms,latitude,longitude,model_name,notes,occlusion,predicted_label,quality_gate_pass,raw_truth_label,record_id,review_reasons,study_area,threshold_status,truth_label,year_inspected
at_least_one_positive_view,0.911955,cannot_determine,ramp_present,1014222285942022|1110578453899788,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1014222285942022.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_18645/1110578453899788.jpg,usable,Fair,retained,,2026-09-01T18:56:41.960Z,root_user,66.616,38.86849356883389,-76.98087721690601,projectsidewalk_dinov2_target_centered_crops_v1,,partial,ramp_present,1,ramp_absent,ADA_CurbRampPt_18645,model_error,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,ramp_absent,2016
probability_in_abstention_band,0.687132,not_visible,abstain,1025729343731173|1143286596180012,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1025729343731173.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_11753/1143286596180012.jpg,good,Good,retained,,2026-09-01T18:57:53.139Z,hworku24,55.525,38.86581346352636,-76.97945035983177,projectsidewalk_dinov2_target_centered_crops_v1,,none,abstain,1,ramp_present,ADA_CurbRampPt_11753,model_abstention,anacostia_fairlawn,frozen_v1_2026-09-01_after_balanced_pilot,ramp_present,2016
at_least_one_positive_view,0.989651,not_visible,ramp_present,1193106424779832,data/images/mapillary_pilot/ADA_CurbRampPt_3245/1193106424779832.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_3245/118043211011192.jpg,good,Fair,retained,,2026-09-01T18:59:16.815Z,hworku24,28.197,38.92974563034023,-77.02763289023981,projectsidewalk_dinov2_target_centered_crops_v1,,none,ramp_present,1,ramp_absent,ADA_CurbRampPt_3245,model_error,columbia_heights_petworth,frozen_v1_2026-09-01_after_balanced_pilot,ramp_absent,2016
no_eligible_images,0.0,not_visible,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1387181318324936.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_28492/1147891249034894.jpg,unusable,Good,changed_to_cannot_determine,unusable_images_cannot_support_presence_or_absence,2026-09-01T18:59:41.324Z,hworku24,0.0,38.92599186840451,-77.03954525254238,projectsidewalk_dinov2_target_centered_crops_v1,,none,abstain,0,ramp_absent,ADA_CurbRampPt_28492,imagery_insufficient,columbia_heights_petworth,frozen_v1_2026-09-01_after_balanced_pilot,cannot_determine,2016
at_least_one_positive_view,0.994947,not_visible,ramp_present,161294106608412,data/images/mapillary_pilot/ADA_CurbRampPt_2568/161294106608412.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_2568/147945997354667.jpg,usable,Missing,retained,,2026-09-01T19:00:06.113Z,hworku24,28.203,38.93555188315029,-77.02712071296699,projectsidewalk_dinov2_target_centered_crops_v1,,none,ramp_present,1,ramp_absent,ADA_CurbRampPt_2568,model_error,columbia_heights_petworth,frozen_v1_2026-09-01_after_balanced_pilot,ramp_absent,2016
at_least_one_positive_view,0.999392,not_visible,ramp_present,1331522562340689|1191360726455637,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1331522562340689.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_23006/1191360726455637.jpg,good,Non-Compliant,retained,,2026-09-01T19:00:22.049Z,hworku24,57.281,38.93402871611946,-77.02616414111131,projectsidewalk_dinov2_target_centered_crops_v1,,none,ramp_present,1,ramp_absent,ADA_CurbRampPt_23006,model_error,columbia_heights_petworth,frozen_v1_2026-09-01_after_balanced_pilot,ramp_absent,2016
no_eligible_images,0.0,cannot_determine,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_27682/105474755634177.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_27682/1021053455094760.jpg,unusable,Fair,retained,,2026-09-01T19:00:31.277Z,hworku24,0.0,38.873359991402225,-76.99166333582677,projectsidewalk_dinov2_target_centered_crops_v1,,unknown,abstain,0,cannot_determine,ADA_CurbRampPt_27682,imagery_insufficient,navy_yard_capitol_riverfront,frozen_v1_2026-09-01_after_balanced_pilot,cannot_determine,2016
all_views_negative,0.830173,not_visible,ramp_absent,2444098789057934|211229097326569,data/images/mapillary_pilot/ADA_CurbRampPt_20386/2444098789057934.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_20386/211229097326569.jpg,usable,Good,retained,,2026-09-01T19:00:45.427Z,hworku24,55.356,38.87945040421178,-77.0001454777056,projectsidewalk_dinov2_target_centered_crops_v1,,none,ramp_absent,1,ramp_present,ADA_CurbRampPt_20386,model_error,navy_yard_capitol_riverfront,frozen_v1_2026-09-01_after_balanced_pilot,ramp_present,2016
no_eligible_images,0.0,,abstain,,,,Missing,retained,,2026-09-01T19:01:00.591Z,,0.0,38.88863329482785,-76.99609936102561,projectsidewalk_dinov2_target_centered_crops_v1,,,abstain,0,cannot_determine,ADA_CurbRampPt_19095,imagery_insufficient,navy_yard_capitol_riverfront,frozen_v1_2026-09-01_after_balanced_pilot,cannot_determine,2016
at_least_one_positive_view,0.999871,not_visible,ramp_present,1023804108193064,data/images/mapillary_pilot/ADA_CurbRampPt_22233/1023804108193064.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_22233/1193942281121807.jpg,poor,Non-Compliant,retained,,2026-09-01T19:01:07.629Z,hworku24,27.352,38.885536428453804,-76.99014234429353,projectsidewalk_dinov2_target_centered_crops_v1,,none,ramp_present,1,cannot_determine,ADA_CurbRampPt_22233,imagery_insufficient,navy_yard_capitol_riverfront,frozen_v1_2026-09-01_after_balanced_pilot,cannot_determine,2016
