aggregation_reason,confidence,detectable_warning,effective_prediction,image_ids,image_paths,image_quality,inventory_condition,label_adjudication,label_adjudication_reason,label_timestamp,labeler,latency_ms,latitude,longitude,model_name,notes,occlusion,predicted_label,quality_gate_pass,raw_truth_label,record_id,review_reasons,study_area,threshold_status,truth_label,year_inspected
no_eligible_images,0.0,cannot_determine,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_18645/1014222285942022.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_18645/1110578453899788.jpg,usable,Fair,retained,,2026-09-01T18:56:41.960Z,root_user,0.0,38.86849356883389,-76.98087721690601,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,partial,abstain,0,ramp_absent,ADA_CurbRampPt_18645,model_abstention,anacostia_fairlawn,provisional_until_development_set_review,ramp_absent,2016
probability_in_abstention_band,0.620605,not_visible,abstain,1025729343731173,data/images/mapillary_pilot/ADA_CurbRampPt_11753/1025729343731173.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_11753/1143286596180012.jpg,good,Good,retained,,2026-09-01T18:57:53.139Z,hworku24,29.29,38.86581346352636,-76.97945035983177,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,1,ramp_present,ADA_CurbRampPt_11753,model_abstention,anacostia_fairlawn,provisional_until_development_set_review,ramp_present,2016
probability_in_abstention_band,0.669162,not_visible,abstain,1068495237935483|1059437341875718,data/images/mapillary_pilot/ADA_CurbRampPt_6680/1068495237935483.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_6680/1059437341875718.jpg,good,Non-Compliant,retained,,2026-09-01T18:59:04.099Z,hworku24,54.91,38.87697004681785,-76.96348681752639,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,1,ramp_present,ADA_CurbRampPt_6680,model_abstention,anacostia_fairlawn,provisional_until_development_set_review,ramp_present,2016
no_eligible_images,0.0,not_visible,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_3245/1193106424779832.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_3245/118043211011192.jpg,good,Fair,retained,,2026-09-01T18:59:16.815Z,hworku24,0.0,38.92974563034023,-77.02763289023981,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,0,ramp_absent,ADA_CurbRampPt_3245,model_abstention,columbia_heights_petworth,provisional_until_development_set_review,ramp_absent,2016
no_eligible_images,0.0,not_visible,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_28492/1387181318324936.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_28492/1147891249034894.jpg,unusable,Good,changed_to_cannot_determine,unusable_images_cannot_support_presence_or_absence,2026-09-01T18:59:41.324Z,hworku24,0.0,38.92599186840451,-77.03954525254238,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,0,ramp_absent,ADA_CurbRampPt_28492,imagery_insufficient,columbia_heights_petworth,provisional_until_development_set_review,cannot_determine,2016
no_eligible_images,0.0,not_visible,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_2568/161294106608412.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_2568/147945997354667.jpg,usable,Missing,retained,,2026-09-01T19:00:06.113Z,hworku24,0.0,38.93555188315029,-77.02712071296699,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,0,ramp_absent,ADA_CurbRampPt_2568,model_abstention,columbia_heights_petworth,provisional_until_development_set_review,ramp_absent,2016
probability_in_abstention_band,0.6086119999999999,not_visible,abstain,1331522562340689|1191360726455637,data/images/mapillary_pilot/ADA_CurbRampPt_23006/1331522562340689.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_23006/1191360726455637.jpg,good,Non-Compliant,retained,,2026-09-01T19:00:22.049Z,hworku24,54.432,38.93402871611946,-77.02616414111131,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,1,ramp_absent,ADA_CurbRampPt_23006,model_abstention,columbia_heights_petworth,provisional_until_development_set_review,ramp_absent,2016
no_eligible_images,0.0,cannot_determine,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_27682/105474755634177.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_27682/1021053455094760.jpg,unusable,Fair,retained,,2026-09-01T19:00:31.277Z,hworku24,0.0,38.873359991402225,-76.99166333582677,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,unknown,abstain,0,cannot_determine,ADA_CurbRampPt_27682,imagery_insufficient,navy_yard_capitol_riverfront,provisional_until_development_set_review,cannot_determine,2016
no_eligible_images,0.0,not_visible,abstain,,data/images/mapillary_pilot/ADA_CurbRampPt_20386/2444098789057934.jpg|data/images/mapillary_pilot/ADA_CurbRampPt_20386/211229097326569.jpg,usable,Good,retained,,2026-09-01T19:00:45.427Z,hworku24,0.0,38.87945040421178,-77.0001454777056,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,none,abstain,0,ramp_present,ADA_CurbRampPt_20386,model_abstention,navy_yard_capitol_riverfront,provisional_until_development_set_review,ramp_present,2016
no_eligible_images,0.0,,abstain,,,,Missing,retained,,2026-09-01T19:01:00.591Z,,0.0,38.88863329482785,-76.99609936102561,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,,,abstain,0,cannot_determine,ADA_CurbRampPt_19095,imagery_insufficient,navy_yard_capitol_riverfront,provisional_until_development_set_review,cannot_determine,2016
