adjudication_reason,aggregation_reason,confidence,effective_prediction,first_pass_image_ids,first_pass_image_quality,first_pass_truth_label,image_ids,inventory_condition,latency_ms,latitude,longitude,model_name,predicted_label,quality_gate_pass,record_id,resolution_basis,review_reasons,study_area,target_crop_image_ids,target_crop_image_quality,target_crop_truth_label,threshold_status,truth_label,year_inspected
,no_eligible_images,0.0,abstain,1014222285942022|1110578453899788,usable,ramp_absent,,Fair,0.0,38.86849356883389,-76.98087721690601,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_18645,source_view_evidence_only,model_abstention,anacostia_fairlawn,1014222285942022|1110578453899788,usable,cannot_determine,provisional_until_development_set_review,ramp_absent,2016
,probability_in_abstention_band,0.620605,abstain,1025729343731173|1143286596180012,good,ramp_present,1025729343731173,Good,29.29,38.86581346352636,-76.97945035983177,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,1,ADA_CurbRampPt_11753,source_view_evidence_only,model_abstention,anacostia_fairlawn,1025729343731173|1143286596180012,unusable,cannot_determine,provisional_until_development_set_review,ramp_present,2016
,all_views_negative,0.989726,ramp_absent,1171979521528074|1236546386804983,good,ramp_absent,1171979521528074,Missing,27.407,38.85930735726929,-76.9886330409881,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,ramp_absent,1,ADA_CurbRampPt_31142,source_view_evidence_only,,anacostia_fairlawn,1171979521528074,usable,cannot_determine,provisional_until_development_set_review,ramp_absent,2016
Ramp is not visible in either evidence set.,probability_in_abstention_band,0.669162,abstain,1068495237935483|1059437341875718,good,ramp_present,1068495237935483|1059437341875718,Non-Compliant,54.91,38.87697004681785,-76.96348681752639,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,1,ADA_CurbRampPt_6680,manual_adjudication,model_abstention,anacostia_fairlawn,1068495237935483|1059437341875718,good,ramp_absent,provisional_until_development_set_review,ramp_absent,2016
,no_eligible_images,0.0,abstain,1193106424779832|118043211011192,good,ramp_absent,,Fair,0.0,38.92974563034023,-77.02763289023981,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_3245,passes_agree,model_abstention,columbia_heights_petworth,1193106424779832,good,ramp_absent,provisional_until_development_set_review,ramp_absent,2016
,no_eligible_images,0.0,abstain,1387181318324936|1147891249034894,unusable,cannot_determine,,Good,0.0,38.92599186840451,-77.03954525254238,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_28492,target_crop_evidence_only,model_abstention,columbia_heights_petworth,1387181318324936|1147891249034894,good,ramp_absent,provisional_until_development_set_review,ramp_absent,2016
,no_eligible_images,0.0,abstain,161294106608412|147945997354667,usable,ramp_absent,,Missing,0.0,38.93555188315029,-77.02712071296699,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_2568,passes_agree,model_abstention,columbia_heights_petworth,161294106608412|147945997354667,usable,ramp_absent,provisional_until_development_set_review,ramp_absent,2016
,probability_in_abstention_band,0.6086119999999999,abstain,1331522562340689|1191360726455637,good,ramp_absent,1331522562340689|1191360726455637,Non-Compliant,54.432,38.93402871611946,-77.02616414111131,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,1,ADA_CurbRampPt_23006,source_view_evidence_only,model_abstention,columbia_heights_petworth,1331522562340689|1191360726455637,unusable,cannot_determine,provisional_until_development_set_review,ramp_absent,2016
,no_eligible_images,0.0,abstain,105474755634177|1021053455094760,unusable,cannot_determine,,Fair,0.0,38.873359991402225,-76.99166333582677,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_27682,passes_agree,imagery_insufficient,navy_yard_capitol_riverfront,105474755634177|1021053455094760,unusable,cannot_determine,provisional_until_development_set_review,cannot_determine,2016
,no_eligible_images,0.0,abstain,2444098789057934|211229097326569,usable,ramp_present,,Good,0.0,38.87945040421178,-77.0001454777056,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_20386,source_view_evidence_only,model_abstention,navy_yard_capitol_riverfront,2444098789057934|211229097326569,poor,cannot_determine,provisional_until_development_set_review,ramp_present,2016
,no_eligible_images,0.0,abstain,,,cannot_determine,,Missing,0.0,38.88863329482785,-76.99609936102561,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,abstain,0,ADA_CurbRampPt_19095,passes_agree,imagery_insufficient,navy_yard_capitol_riverfront,,unusable,cannot_determine,provisional_until_development_set_review,cannot_determine,2016
,at_least_one_positive_view,0.996258,ramp_present,1023804108193064|1193942281121807,poor,cannot_determine,1023804108193064,Non-Compliant,26.99,38.885536428453804,-76.99014234429353,projectsidewalk_quantized_curb_ramp_dinov2_tiny_onnx,ramp_present,1,ADA_CurbRampPt_22233,passes_agree,imagery_insufficient,navy_yard_capitol_riverfront,1023804108193064,unusable,cannot_determine,provisional_until_development_set_review,cannot_determine,2016
